l_c_x,l_c_y,l_r_x,l_r_y,l_t_x,l_t_y,l_l_x,l_l_y,l_b_x,l_b_y,r_c_x,r_c_y,r_r_x,r_r_y,r_t_x,r_t_y,r_l_x,r_l_y,r_b_x,r_b_y,x,y
349.4524,289.613714,356.246948,289.422884,349.091225,283.573637,342.572403,289.762487,349.766655,295.540724,420.618172,285.947056,426.700439,285.75717,420.059738,279.780722,414.532394,286.042671,421.173096,292.010593,1329,590
354.296188,287.933521,360.257149,287.875586,353.788719,282.269497,348.127708,287.919559,354.695663,293.635769,424.450455,284.082642,430.509338,283.935299,423.755226,277.851334,418.370247,284.144583,425.13195,290.25444,1639,168
352.306747,289.197979,359.158287,288.803616,351.81942,283.236866,345.34874,289.561129,352.703514,295.108938,422.775726,285.085001,428.954697,284.880438,422.157822,278.792925,416.585464,285.205393,423.387527,291.301231,1362,325
356.867332,288.575621,363.222427,288.465242,356.05957,282.66758,350.261269,288.614674,357.521439,294.516535,426.330566,284.343338,432.128754,284.16544,425.644379,278.36483,420.468102,284.446192,426.980247,290.277901,1823,136
331.928673,286.724854,338.48896,286.453028,331.621017,281.000605,325.244637,286.947041,332.173119,292.37752,401.698303,280.349064,408.285294,279.796143,401.020813,274.193344,395.09758,280.83066,402.39666,286.427879,1260,616
340.745239,284.16707,346.775551,283.654518,339.650307,278.795586,334.49276,284.618397,341.750336,289.561872,407.594604,275.782957,413.180733,275.106983,406.648903,270.026064,401.920815,276.437473,408.554535,281.550121,1765,219
315.483608,287.439365,321.985168,287.149687,315.281944,281.908207,309.037037,287.703524,315.699024,292.861547,383.599701,282.704372,390.046005,282.077208,383.272171,277.316751,377.328491,283.250914,383.981819,288.080521,611,1056
325.36274,282.43515,331.563721,282.158604,324.81575,277.029562,319.031601,282.718391,325.792427,287.889433,393.997574,276.463079,399.851074,276.07132,393.228073,270.628824,388.117676,276.809921,394.749489,282.289982,1565,82
346.443405,229.634743,350.246086,229.391913,346.350479,226.282411,342.573776,229.83191,346.428566,233.040862,386.985893,233.640175,390.384903,234.172254,387.596321,230.673723,383.606377,233.084164,386.392059,236.573768,1482,216
348.935394,229.524422,352.632217,229.897714,349.077072,226.55611,345.187683,229.122763,348.760567,232.453022,388.400574,234.152184,391.641731,234.755816,388.938789,231.065669,385.186272,233.529739,387.866173,237.207813,1562,76
319.906483,237.141094,323.166237,236.696534,319.484501,234.154587,316.633968,237.587013,320.302086,240.073385,357.685242,230.910544,360.999451,230.678029,357.378044,227.914081,354.428253,231.109357,357.992134,233.867097,510,1058
323.695602,235.847611,326.639061,235.390348,323.429527,233.122945,320.667419,236.279812,323.902206,238.575912,362.356873,230.637975,365.871162,230.574603,362.303391,227.617164,358.845177,230.662193,362.390213,233.59643,1734,606
343.476448,230.403156,347.375641,230.663323,343.734322,227.609396,339.569931,230.138326,343.184471,233.138595,383.860245,234.042077,387.192802,234.527879,384.410324,231.090817,380.546074,233.544545,383.322792,236.959891,1643,279
346.713791,230.666099,350.486603,230.994344,346.885109,227.80057,342.883453,230.319815,346.50219,233.495436,386.292114,235.337076,389.605942,236.008,386.92028,232.446299,383.003044,234.63438,385.67791,238.16328,1764,369
346.48983,230.915923,350.237007,231.162214,346.688919,228.105426,342.70668,230.634184,346.233673,233.664994,385.588722,235.726147,389.106331,236.367874,386.183319,232.675581,382.123108,235.084734,385.01091,238.757343,1181,602
347.7668,230.301232,351.519699,230.597692,347.868385,227.563949,343.97541,229.980097,347.631989,233.001351,387.472305,235.416198,390.765228,236.092601,388.063354,232.497339,384.201088,234.723186,386.894379,238.287892,1800,136
317.208748,237.001591,319.752789,236.540179,316.894493,234.585171,314.568501,237.471328,317.48188,239.414606,355.381584,229.81905,359.53701,229.897628,355.363541,226.619754,351.174355,229.702835,355.37571,232.982569,1087,264
320.523949,236.716003,323.862228,235.99072,319.975204,233.848085,317.11235,237.450829,321.020622,239.565883,358.286133,229.748869,361.861,229.482493,358.027191,226.577611,354.726143,229.976077,358.526497,232.848043,1624,298
321.016502,236.654649,324.242249,235.909939,320.466232,233.939438,317.712135,237.399974,321.528473,239.351192,359.40834,229.551616,362.813835,229.269977,359.067802,226.497145,356.00399,229.804645,359.741096,232.544174,1683,227
320.384369,237.144256,323.49472,236.460056,319.899292,234.371209,317.23238,237.804966,320.820503,239.880581,358.506813,230.074182,361.93325,229.820895,358.264656,227.038164,355.10746,230.30395,358.737221,233.04328,1273,618
321.785965,236.421447,324.957008,235.727506,321.33522,233.752556,318.530769,237.107863,322.177238,239.090137,359.737015,229.742131,362.900848,229.482365,359.450378,226.789956,356.588554,229.969826,360.016785,232.621593,1763,222
364.566116,230.282364,368.214684,230.244241,363.886223,227.367582,360.969467,230.304594,365.315742,233.205886,400.537224,240.699091,402.985535,241.137371,400.767365,237.68858,398.004723,240.347157,400.164604,243.712063,1800,132
343.237457,230.091333,346.606483,230.303621,343.30349,227.310348,339.823456,229.866872,343.137512,232.828932,382.483597,233.761239,386.199341,234.369349,382.905464,230.648346,378.791428,233.123875,382.072563,236.82385,908,264
345.405884,229.959025,349.138718,230.110617,345.437508,227.293296,341.61911,229.777422,345.339088,232.570095,384.773216,234.162655,388.142166,234.788218,385.314026,231.195145,381.427727,233.529725,384.234734,237.088037,1760,263
345.608826,229.743547,349.404373,229.920287,345.704269,226.968684,341.766968,229.558539,345.501518,232.473936,384.96788,234.054909,388.272247,234.683304,385.507584,231.09478,381.680794,233.418217,384.431305,236.972322,1760,263
346.125793,229.653826,349.86454,229.857273,346.198578,226.841211,342.33448,229.432626,346.027565,232.413297,385.729904,234.124446,388.997116,234.739323,386.249161,231.261778,382.473869,233.497238,385.2108,236.947389,1798,135
336.279755,231.154103,339.71283,231.106467,336.168785,228.25676,332.813606,231.180925,336.364136,234.002109,376.470146,231.994786,379.996262,232.314606,376.614113,228.992171,372.96257,231.65627,376.331329,234.947877,966,263
336.991653,231.185975,340.482597,231.142759,336.8927,228.262038,333.466797,231.206203,337.068176,234.045711,376.509781,232.081175,379.953079,232.323918,376.664238,229.109917,373.106422,231.825528,376.378174,235.013595,925,275
340.037498,230.626216,343.819275,230.661736,339.933853,227.835259,336.196518,230.58908,340.117722,233.385758,379.165611,232.238059,382.667961,232.620292,379.472847,229.223542,375.68676,231.836987,378.871384,235.196972,1821,132
338.28537,231.121788,341.811028,231.09498,338.200264,228.154879,334.743843,231.131873,338.35453,234.032192,378.011398,232.55765,381.416893,232.917838,378.322639,229.582386,374.63932,232.188263,377.711868,235.492887,1029,327
340.356216,230.854669,343.910179,230.82211,340.167809,227.945752,336.734619,230.881376,340.524635,233.745532,379.757385,232.623725,383.286705,232.999163,380.094261,229.643269,376.24115,232.230248,379.428329,235.547991,1757,131
339.610443,231.01347,343.040581,230.976591,339.519997,228.17771,336.145859,231.028333,339.686432,233.812494,379.56562,232.715149,383.030815,233.080702,379.901962,229.751,376.116257,232.332315,379.237556,235.628843,1363,187
